angle,fps
0.1,823.88367
0.2,777.0855
0.3,733.92285
0.4,704.36224
0.5,681.4588
0.6,670.58014
0.70000005,704.5376
0.8000001,774.6226
0.9000001,770.47473
1.0000001,684.0143
1.1000001,577.88544
1.2000002,578.9592
1.3000002,590.70984
1.4000002,589.5899
1.5000002,597.3737
1.6000003,594.48096
1.7000003,620.3473
1.8000003,548.2555
1.9000003,545.0364
2.0000002,533.2043
2.1000001,546.1681
2.2,539.81885
2.3,531.50824
2.3999999,541.42883
2.4999998,535.0173
2.5999997,534.0902
2.6999996,530.29364
2.7999995,512.6616
2.8999994,517.8435
2.9999993,523.76086
3.0999992,522.97546
3.199999,526.93835
3.299999,533.485
3.399999,531.68115
3.4999988,537.10767
3.5999987,538.1295
3.6999986,525.7086
3.7999985,540.90283
3.8999984,539.2881
3.9999983,545.9142
4.0999985,547.66974
4.1999984,550.29944
4.2999983,548.80927
4.399998,550.0765
4.499998,548.60864
4.599998,537.42395
4.699998,549.1997
4.799998,549.1725
4.8999977,548.40906
4.9999976,549.29626
5.0999975,546.2144
5.1999974,546.90674
5.2999973,545.7372
5.399997,543.16156
5.499997,532.318
5.599997,544.6974
5.699997,547.62244
5.799997,548.19934
5.8999968,546.50726
5.9999967,545.89
6.0999966,546.68427
6.1999965,545.9486
6.2999964,546.6703
6.3999963,536.76697
6.499996,547.1461
6.599996,550.33704
6.699996,546.74835
6.799996,548.3672
6.899996,549.4648
6.9999957,550.1356
7.0999956,550.5151
7.1999955,550.2721
7.2999954,539.5599
7.3999953,549.1485
7.499995,546.16785
7.599995,547.87146
7.699995,549.5897
7.799995,547.42126
7.899995,546.839
7.9999948,545.6338
8.099995,544.7023
8.199995,532.6689
8.299995,544.46625
8.399996,544.6614
8.499996,548.7559
8.599997,543.54407
8.699997,541.5504
8.799997,540.3757
8.899998,534.3345
8.999998,533.9591
9.099998,522.2769
9.199999,534.07245
9.299999,536.1743
9.4,536.38007
9.5,535.673
9.6,534.142
9.700001,533.9669
9.800001,537.09216
9.900002,542.5753
10.000002,531.0619
10.100002,545.77716
10.200003,545.7135
10.300003,543.5731
10.400003,544.1996
10.500004,546.1547
10.600004,549.5475
10.700005,550.9712
10.800005,548.75287
10.900005,539.3286
11.000006,552.6127
11.100006,552.7501
11.2000065,554.34607
11.300007,554.73303
11.400007,555.55176
11.500008,555.4576
11.600008,555.3595
11.700008,554.80743
11.800009,544.8988
11.900009,555.2196
12.00001,556.25244
12.10001,556.1953
12.20001,555.1192
12.300011,554.146
12.400011,553.9809
12.500011,551.8812
12.600012,553.33624
12.700012,551.8822
12.800013,553.9889
12.900013,555.54407
13.000013,553.38947
13.100014,552.7952
13.200014,555.44714
13.3000145,556.90826
13.400015,555.5603
13.500015,559.42596
13.600016,556.9586
13.700016,547.83057
13.800016,559.61224
13.900017,559.1827
14.000017,560.14905
14.100018,559.35205
14.200018,559.0655
14.300018,555.6753
14.400019,558.2157
14.500019,551.44586
14.600019,543.4411
14.70002,552.5663
14.80002,556.1878
14.900021,556.6908
15.000021,558.482
15.100021,557.5148
15.200022,559.6581
15.300022,562.2279
15.4000225,560.17145
15.500023,554.99066
15.600023,564.8551
15.700024,583.0714
15.800024,597.4612
15.900024,616.72595
16.000025,634.1876
16.100025,652.8712
16.200026,670.6007
16.300026,689.8691
16.400026,710.9879
